date;time;height;x;y;temp
01.01.2015;02:59:20.13;20,5;-20,75;-19,33;-19,0
01.01.2015;02:59:32.43;20,5;-17,34;-17,02;-19,5
01.01.2015;03:09:41.52;20,5;-20,18;-21,94;-19,0
01.01.2015;03:09:49.90;20,5;-0,29;-15,49;-19,0
01.01.2015;03:20:02.90;20,5;-13,93;-22,85;-19,0
01.01.2015;03:20:11.20;20,5;-25,30;-8,90;-19,0
01.01.2015;03:30:20.40;20,5;-15,21;-15,34;-19,0
01.01.2015;03:30:32.55;20,5;-12,79;-12,88;2004,0
01.01.2015;03:40:45.49;20,5;-20,61;-10,28;1215,0
01.01.2015;03:40:53.90;20,5;-20,32;-8,13;-19,5
01.01.2015;03:51:02.99;20,5;-35,95;-16,26;-19,5
01.01.2015;03:51:15.15;20,5;-24,59;-8,90;-19,5
01.01.2015;04:01:24.40;20,5;-20,47;-10,28;-19,5
01.01.2015;04:01:36.55;20,5;-29,98;-9,97;-19,5
01.01.2015;04:11:49.49;20,5;-23,59;-9,36;-19,5
01.01.2015;04:15:55.55;20,5;-24,16;-7,98;-19,5
01.01.2015;04:26:08.49;20,5;-19,61;-7,98;-19,5
01.01.2015;04:26:16.90;20,5;-17,63;-7,83;-19,5
01.01.2015;04:36:25.99;20,5;-21,60;-10,43;-19,5
01.01.2015;04:46:59.54;20,5;-13,08;-9,20;-19,5
01.01.2015;04:57:12.49;20,5;-19,19;-12,27;-19,5
01.01.2015;04:57:24.65;20,5;-21,60;-10,28;-19,5
01.01.2015;05:07:33.90;20,5;-21,46;-11,66;-19,5
01.01.2015;05:49:10.70;20,5;-22,74;-9,36;-20,0
01.01.2015;05:49:22.90;20,5;-21,74;-10,13;-20,0
01.01.2015;05:59:31.99;20,5;-22,74;-10,28;-20,0
01.01.2015;05:59:40.40;20,5;-21,88;-9,97;-20,0
01.01.2015;06:06:30.90;20,5;-24,16;-8,44;-20,0
01.01.2015;06:06:39.20;20,5;-24,45;-8,74;-20,5
01.01.2015;06:16:48.40;20,5;-25,16;-7,52;-20,0
01.01.2015;06:16:56.70;20,5;-22,59;-7,67;-20,5
01.01.2015;06:27:09.70;20,5;-23,73;-8,44;-20,5
01.01.2015;06:27:18.05;20,5;-22,45;-9,97;-20,5
01.01.2015;06:37:30.99;20,5;-25,44;-8,74;-20,5
01.01.2015;06:37:43.15;20,5;-25,30;-7,98;-20,5
01.01.2015;06:47:52.40;20,5;-22,74;-12,73;-20,5
01.01.2015;06:48:04.55;20,5;-25,58;-8,13;-20,5
01.01.2015;06:58:17.49;20,5;-19,76;-12,88;-20,5
01.01.2015;07:08:51.05;20,5;-23,30;-7,98;-20,5
01.01.2015;07:19:03.99;20,5;-20,75;-15,19;-20,5
01.01.2015;07:29:25.40;20,5;-19,90;-9,36;-20,5
01.01.2015;07:50:11.90;20,5;-16,06;-15,34;-21,0
01.01.2015;07:50:20.20;20,5;-20,89;-11,05;-21,0
01.01.2015;07:57:35.04;20,5;-21,88;-10,59;-21,0
01.01.2015;08:07:47.99;20,5;-20,75;-11,81;-21,0
01.01.2015;08:08:00.15;20,5;-22,45;-9,97;-21,0
01.01.2015;08:18:21.55;20,5;-24,45;-10,28;-21,0
01.01.2015;08:28:34.49;20,5;-28,42;-10,74;-21,0
01.01.2015;08:28:46.65;20,5;-24,73;-9,97;-21,0
01.01.2015;08:38:55.90;20,5;-18,34;-9,66;-21,0
01.01.2015;08:39:04.18;20,5;-22,74;-12,27;-21,0
01.01.2015;08:49:13.40;20,5;-27,00;-10,89;-21,0
